Titel,Datum,Plaats van publicatie,Publicatie,Publicatietype,Lengte,Sectie,Lengte.1,Landen,Auteur,Agg-copyright,Cite,Bedrijf,Titel.1,Hlead,Publicatie.1,Publicatietype.1,Pub-copyright,Weergeven,Termen,Ticker,Hyperlink,Source,Publicatie_unique,YearMonth,Article_ID
Trump heeft zijn land geen make-over gegeven; het heeft de ware aard ervan laten zien,2020-10-30,International,De Volkskrant.nl,News,959,,959,"Netherlands, Kingdom of the",Robert van de Griend,,,,Trump heeft zijn land geen make-over gegeven; het heeft de ware aard ervan laten zien,"Trump heeft zijn land geen make-over gegeven; het heeft de ware aard ervan laten zien Als ik de af­gelopen jaren de ­reportages las van onze Amerika-correspondent Michael Persson, over een hopeloos verdeeld en vijandig land dat met de dag dieper wegzakte in een identiteitscrisis waarvan zelfs Sigmund Freud zich in zijn pijp zou verslikken, moest ik vaak denken aan Allison Barnhardt.",De Volkskrant.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:615Y-GKV1-DY0X-9081-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,2020-10,1055
Hoe radicaal rechts zich op lhbti-rechten stort,2023-08-05,International,de Volkskrant,News,1079,"Ten Eerste;Blz. 2, 3",1079,"Netherlands, Kingdom of the",LOES REIJMER,,,,Hoe radicaal rechts zich op lhbti-rechten stort,"Hoe radicaal rechts zich op lhbti-rechten stort De toenemende zichtbaarheid van de lhbti-gemeenschap gaat soms gepaard met frictie. Koren op de molen van radicaal rechts, ziet redacteur Loes Reijmer. Voor die groep staat de regenboogvlag voor links 'gedram'. Analyse cultuurstrijd Er lijkt een wereld van verschil te zitten tussen de tweets die Geert Wilders luttele dagen na elkaar verstuurde. Cognitieve dissonantie, op z'n minst. 'Ik word gek van dat woke en lhbtiq+ gedram', twitterde hij deze week. 'Doe eens normaal allemaal en hou op met die overdreven gekkigheid.' De PVV- leider reageerde op een tweet van de KLM met een regenboogvlag over een landingsbaan.",de Volkskrant,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:68VX-RB81-DYRY-X1YN-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2022-2024 201-500.XLSX,Volkskrant,2023-08,2384
"Wat lezers vinden van mannelijk, vrouwelijk, non-binair of genderneutraal",2020-11-14,International,de Volkskrant,News,644,Opinie zaterdag;Blz. 28,644,"Netherlands, Kingdom of the",IÑAKI OÑORBE GENOVESI,,,,"Wat lezers vinden van mannelijk, vrouwelijk, non-binair of genderneutraal","Wat lezers vinden van mannelijk, vrouwelijk, non-binair of genderneutraal Gevoelige Taal Veel lezers spraken de krant aan op het ontbrekende gebruik van de betrekkelijk nieuwe maar al wel bestaande genderneutrale voornaamwoorden. Aanleiding was de recensie van het nieuwe album van de Britse artiest Sam Smith. Smith identificeert zich niet als man of vrouw en is dus non-binair. In de krant van donderdag schreef redacteur Rogier Goetze dat de Volkskrant zich bezint op genderneutrale aanspreekvormen voor mensen die zich niet identificeren als man of vrouw. Maar: de door belangengroepen voorgestelde woorden 'hen' en 'hun' kunnen tot verwarring leiden, 'omdat het bestaande woorden zijn die een nieuwe betekenis krijgen'.",de Volkskrant,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6191-XHB1-DYRY-X0WR-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,2020-11,1065
Met zijn satirische serie Nieuw zeer drukt Niek Barendsen op de pijnpunten van deze tijd: ‘Ik vond het nodig om het mes in diverse pusbulten te zetten’,2021-04-01,International,De Volkskrant.nl,News,1665,,1665,"Netherlands, Kingdom of the",Gidi Heesakkers,,,,Met zijn satirische serie Nieuw zeer drukt Niek Barendsen op de pijnpunten van deze tijd: ‘Ik vond het nodig om het mes in diverse pusbulten te zetten’,"Met zijn satirische serie Nieuw zeer drukt Niek Barendsen op de pijnpunten van deze tijd: ‘Ik vond het nodig om het mes in diverse pusbulten te zetten’ Zondag 4 april begint het nieuwe seizoen van de sketchserie op NPO 3. Elke dag heeft Niek Barendsen (56) wel een idee voor een nieuwe Nieuw zeer-scène. Hij is de bedenker, schrijver en regisseur van de NTR-sketchserie ‘over de hete hangijzers van nu waar veel over gepraat en geschreeuwd wordt, maar te weinig om wordt gelachen’. Net nog, bij het stoplicht, schoot hem een typische Katja-situatie te binnen – ruziezoeker Katja is een van de vele dwarse, nogal intense vrouwen die Ilse Warringa in Nieuw zeer speelt.",De Volkskrant.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:62BJ-CDM1-JBHV-K4YW-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,2021-04,1098
Uitgeverij trekt artikel over trans jongeren in Ophef,2023-06-24,International,NRC,News,564,WETENSCHAP;Blz. 16,564,"Netherlands, Kingdom of the",Sjoerd de Jong,,,,Uitgeverij trekt artikel over trans jongeren in Ophef,"Uitgeverij trekt artikel over trans jongeren in Ophef ABSTRACT Ophef Hij was eerder al het middelpunt van een hevige rel. Nu is ook een artikel van seksonderzoeker Michael Bailey ingetrokken. Hij is transfoob, luidt de beschuldiging. Het was te verwachten bij een nieuwe publicatie van Michael Bailey over gender: kritiek en protesten, steunverklaringen van sympathisanten, rijzende twijfels bij de uitgever en uiteindelijk de beslissing om het bewuste artikel aan te passen of zelfs maar in te trekken.",NRC,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:68J3-8WG1-JCMP-22JT-00000-00&context=1519360&sourcegroupingtype=G,NRC 2022-2024 hele sample.XLSX,NRC,2023-06,1912
"Voor hij de politiek in gaat, doet Eddie Izzard nog één keer een tournee: ‘Ik wil laten zien dat de geschiedenis zich voortdurend herhaalt’",2019-04-23,International,De Volkskrant.nl,News,811,,811,"Netherlands, Kingdom of the",Gijs Beukers,,,,"Voor hij de politiek in gaat, doet Eddie Izzard nog één keer een tournee: ‘Ik wil laten zien dat de geschiedenis zich voortdurend herhaalt’","Voor hij de politiek in gaat, doet Eddie Izzard nog één keer een tournee: ‘Ik wil laten zien dat de geschiedenis zich voortdurend herhaalt’ De Britse comedian voert zijn show Wunderbar op in het Engels, Frans en Duits. Géén politiek interview, maande de agent van Eddie Izzard, de Britse comedian die meermaals heeft aangegeven burgemeester van Londen te willen worden, of parlementariër. Izzard wordt ‘bedolven’ onder de aanvragen van Europese kranten die hem over de Brexit willen horen. Eén politieke vraag, schreef de agent, en ze zal het telefonische interview afkappen. Dus beginnen we het gesprek met de vraag waarom zijn nieuwe programma, waarmee Izzard op donderdag 25 april in Afas Live staat, Wunderbar heet.",De Volkskrant.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5VYC-2VM1-JBHV-K52W-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,2019-04,897
Opinie: Laat mensen zelf hun genderregistratie bepalen,2021-05-19,International,De Volkskrant.nl,News,536,,536,"Netherlands, Kingdom of the","Anniek de Ruijter, Femke Zeven",,,,Opinie: Laat mensen zelf hun genderregistratie bepalen,"Opinie: Laat mensen zelf hun genderregistratie bepalen In het wetsvoorstel Vereenvoudiging Transgenderwet wordt het aanpassen van je registratie van m/v en andersom gemakkelijker. Maar de X die Raven van Dorst in diens paspoort wil, kan nog steeds niet, betogen Anniek de Ruijter en Femke Zeven.",De Volkskrant.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:62PS-GCW1-JBHV-K1JD-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,2021-05,1121
Ook transzorg moet aan medisch-wetenschappelijke standaarden voldoen Opinie Nederlandse genderzorg geldt wereldwijd als voorbeeld. Maar hoe wetenschappelijk is het 'Dutch protocol' eigenlijk?,2022-12-31,International,NRC,News,1722,VOORPAGINA;Blz. 1,1722,"Netherlands, Kingdom of the",Jan Kuitenbrouwer Peter Vasterman,,,,Ook transzorg moet aan medisch-wetenschappelijke standaarden voldoen Opinie Nederlandse genderzorg geldt wereldwijd als voorbeeld. Maar hoe wetenschappelijk is het 'Dutch protocol' eigenlijk?,"Ook transzorg moet aan medisch-wetenschappelijke standaarden voldoen Opinie Nederlandse genderzorg geldt wereldwijd als voorbeeld. Maar hoe wetenschappelijk is het 'Dutch protocol' eigenlijk? ABSTRACT Opinie Transgenderzorg De vraag naar transgenderzorg neemt snel toe. De oorspronkelijk Nederlandse behandeling met puberteitsremmers ligt steeds vaker internationaal onder vuur. Jan Kuitenbrouwer en Peter Vasterman pleiten voor onafhankelijk onderzoek. 'Wachtlijsten transgenderzorg te lang: 'Je gaat eraan onderdoor'"", kopte RTL Nieuws begin dit jaar. Nederlandse genderklinieken worden bedolven onder een bijna exponentieel groeiende vraag naar genderzorg. Het vorige kabinet installeerde een 'kwartiermaker' om een drastische uitbreiding van de capaciteit in gang te zetten. Maar: wat voor zorg zou dat eigenlijk moeten zijn? Tot 2010 meldden zich in Nederland gemiddeld zo'n 200 patiënten per jaar bij een genderkliniek, onder wie zo'n 60 kinderen en jongeren. Rond 2013 verdubbelt plots het aantal aanmeldingen en vanaf dat moment gaat de lijn steil omhoog. In 2022 staan er bijna 6.000 mensen op de wachtlijst en zijn er ruim 5.000 in behandeling, onder wie zo'n 1.600 minderjarigen. Ook in die groep is de groei enorm, er staan er ook nog eens 1.800 op de wachtlijst. Zij 'voelen zich niet thuis in hun eigen geslacht' en willen 'in transitie'. Deze groeitrend is internationaal. Minderjarige patiënten bij de Britse genderkliniek Tavistock: van 51 in 2009 naar 3.585 in 2022. Ook daar stonden dit jaar duizenden kinderen op wachtlijsten.",NRC,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:676R-H3C1-F03R-S3T6-00000-00&context=1519360&sourcegroupingtype=G,NRC 2022-2024 hele sample.XLSX,NRC,2022-12,1804
Hoogleraar: slachtofferschap bepaalt huidige tijdgeest ’Emotie wint het van de rede’,2023-06-01,International,De Telegraaf.nl,News,1032,BINNENLAND; FRONTPAGE,1032,"Netherlands, Kingdom of the",Wierd Duk,,,,Hoogleraar: slachtofferschap bepaalt huidige tijdgeest ’Emotie wint het van de rede’,"Hoogleraar: slachtofferschap bepaalt huidige tijdgeest ’Emotie wint het van de rede’ Wat precies bepaalt de geest van onze tijd? Onder meer het gewicht dat wordt toegekend aan emoties en aan vermeend slachtofferschap, meent auteur Rik Torfs, éminence grise onder Vlaamse intellectuelen. „We leven in een licht hysterische tijd.” „We doen allemaal alsof we heel verlicht zijn, maar als puntje bij paaltje komt wint emotie het altijd van de rede.” Rik Torfs (66), oud-hoogleraar en -rector aan de KU Leuven, voormalig politicus, veelgevraagd opiniemaker en Bekende Vlaming, schreef het breed uitwaaierende boek Tijdgeest: een perspectief op mens en tijd, waarin de auteur de eigenaardigheden van ons tijdsgewricht probeert te vangen. „We leven in een licht hysterische tijd: als je geen inhoudelijke argumenten hebt, zoek je je toevlucht tot de emotie; vaak op hoge toon. Daarmee slaat elke discussie dood, want als iemand echt kwaad wordt, is het moeilijk om nog een constructief gesprek te voeren.” Tekst gaat verder onder de foto.",De Telegraaf.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:68C5-M9B1-JBNJ-255C-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2022-2024 hele sample.XLSX,Telegraaf,2023-06,1431
Genderneutraal opvoeden begint met een genderneutrale naam,2021-10-11,International,De Volkskrant.nl,News,645,,645,"Netherlands, Kingdom of the",Jan Kuitenbrouwer,,,,Genderneutraal opvoeden begint met een genderneutrale naam,"Genderneutraal opvoeden begint met een genderneutrale naam Meepraten voor beginners: Jan Kuitenbrouwer schrijft het woordenboek van de verbale burgeroorlog die we het ‘openbaar debat’ noemen. Deze week, onder de G: genderneutraal. Frankrijk begon er een paar jaar geleden mee en ook in Nederlandse speelgoedwinkels vervaagt de grens tussen de jongens- en de meisjesafdeling. Barbie staat naast Bob de Bouwer en heeft inmiddels een naamloos —> nonbinair soortgenootje, met een androgyn lijf en een garderobe van —> uniseks kledingstukjes.",De Volkskrant.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:63TR-HHY1-DY0X-90KD-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,2021-10,1202
Sekse kan sowieso uit het paspoort worden geschrapt Non-binair 'Schrap sekse sowieso uit het paspoort',2021-08-11,International,NRC,News,906,VOORPAGINA;Blz. 1,906,"Netherlands, Kingdom of the",Maurits Westerbeek,,,,Sekse kan sowieso uit het paspoort worden geschrapt Non-binair 'Schrap sekse sowieso uit het paspoort',"Sekse kan sowieso uit het paspoort worden geschrapt Non-binair 'Schrap sekse sowieso uit het paspoort' ABSTRACT Non-binair moet niet als derde geslacht in het paspoort komen, vindt Maurits Westerbeek, omdat het registreren van sekse achterhaald is. Senn van Beek stelt de staat aansprakelijk voor ,,schending van het recht op privéleven en ongelijke behandeling"" (NRC, 1/8). In Van Beeks paspoort staat namelijk een V waar volgens Van Beek een X zou moeten staan. Senn is geboren als vrouw, heeft de diagnose genderdysforie, voelt zich vrouw noch man, noemt zichzelf non-binair en eist erkenning daarvan als (gender-)identiteit. Een X in het paspoort, niet als vlees-noch-visoptie maar als derde mogelijkheid naast M en V. Hier dreigen een paar dingen mis te gaan. Ten eerste is de overheidsadministratie waaruit de gegevens voor het paspoort worden geput, een plek voor feiten, niet voor gevoelens. Ten tweede zou de overheid niet mee moeten gaan in identiteitsdenken.",NRC,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:63BM-6C51-F03R-S39J-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,2021-08,3033
"Openlijk homoseksueel en in de top? Heel soms, maar lhbtq’ers ontbreken vaak in de toplagen",2022-11-28,International,NRC.nl,News,1538,,1538,"Netherlands, Kingdom of the",Menno Sedee,,,,"Openlijk homoseksueel en in de top? Heel soms, maar lhbtq’ers ontbreken vaak in de toplagen","Openlijk homoseksueel en in de top? Heel soms, maar lhbtq’ers ontbreken vaak in de toplagen De baas van Randstad is homoseksueel. Maar bij veel bedrijven is de lhbtq-emancipatie op hoger niveau nog ver te zoeken. „In wegnemen van belemmeringen kan veel meer worden geïnvesteerd”, zegt de hoogleraar. Hij moest er wel even over nadenken: publiekelijk zijn ervaringen delen als homoseksuele man bij Randstad. Jos Schut, verantwoordelijk voor personeel en organisatie in de regio Azië-Pacific, had zich nooit achtergesteld gevoeld in zijn twintig jaar bij de multinational, schreef hij uiteindelijk op de website van Randstad in juli 2020, vlak voor de Pride in Amsterdam. „Toch, in alle eerlijkheid, is het niet altijd makkelijk geweest. Vaak heb ik het gevoel gehad dat ik anders met bepaalde situaties moet omgaan omdat ik homo ben.” Hij noemt het continue uit de kast komen als je nieuwe mensen ontmoet, antwoorden op vragen die hetero collega’s nooit zouden krijgen, en vooroordelen weerleggen. „Met dit bericht wil ik iedereen steunen die worstelt met zichzelf zijn.” Als Schut (53) „er één of twee mensen mee zou kunnen helpen”, dan was hij er al blij mee geweest, zegt hij vanuit zijn kantoor in Japan . „Nou, dat is een veelvoud geweest.” Hij kreeg persoonlijke mailtjes, ook van mensen die nog in de kast zitten. „Ze vroegen hoe ze met hun seksualiteit om moesten gaan: hoe ervaar je dat nou, merk je verschil?”",NRC.nl,Web Publication,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:66YT-RPC1-JBNH-J32N-00000-00&context=1519360&sourcegroupingtype=G,NRC 2022-2024 hele sample.XLSX,NRC,2022-11,1786
"Trans activisten Shane en Leonel blijven dromen van een plek in Chili’s grondwet, maar hun landgenoten zien het niet zitten",2022-09-05,International,De Volkskrant.nl,News,1786,,1786,"Netherlands, Kingdom of the",Joost de Vries,,,,"Trans activisten Shane en Leonel blijven dromen van een plek in Chili’s grondwet, maar hun landgenoten zien het niet zitten","Trans activisten Shane en Leonel blijven dromen van een plek in Chili’s grondwet, maar hun landgenoten zien het niet zitten Chili verwierp zondag een nieuwe grondwet met daarin expliciete rechten voor lhbti’ers. Het referendum was een historische kans voor trans activisten Shane en Leonel, die een levenslange strijd voeren met de samenleving en de politiek. ‘Straks keert rechts terug aan de macht en zijn we alles weer kwijt.’ Op de televisie kleuren de regio’s van Chili een voor een blauw: tegen, tegen, tegen. ‘Ik denk dat ik het snap’, fluistert de non-binaire Shane Cienfuegos (29) verslagen, ‘Dit is een land met veel ouderen.’ Vriend en trans man Leonel Catoni (30) zegt niets en kijkt alleen maar. Van noord naar zuid, 4.270 kilometer ingeklemd tussen oceaan en Andes, vult de kaart zich met het blauw van de afwijzing: Chili stemde tegen de nieuwe grondwet. Tegen een grondwet waarin Shane en Leonel, en alle seksuele minderheden, voor het eerst expliciet een plek zouden krijgen.",De Volkskrant.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:669W-9HJ1-JBHV-K385-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2022-2024 1-200.XLSX,Volkskrant,2022-09,3287
De lange weg naar de top Drag Queen Vanessa van Cartier deelt levensverhaal,2022-05-16,International,De Telegraaf,News,716,VROUW;Blz. 17,716,"Netherlands, Kingdom of the",,,,,De lange weg naar de top Drag Queen Vanessa van Cartier deelt levensverhaal,"De lange weg naar de top Drag Queen Vanessa van Cartier deelt levensverhaal Drag Queen Vanessa van Cartier deelt levensverhaal Vanessa van Cartier (42) won vorig jaar seizoen 2 van het programma Drag Race Holland en de afgelopen weken was ze jurylid in Make up your mind. De transvrouw is internationaal uitgegroeid tot een succesvol artiest met beroemde vrienden als zanger Sam Smith en actrice Whoopi Goldberg. Deze week verschijnt haar biografie. Toen ze ruim twintig jaar geleden begon met drag, leefde Vanessa van Cartier nog als Aurelio: een jongen. Haar bijzondere, soms schrijnende en ook pijnlijke levensweg beschrijft ze in haar boek Stay true to who you are. Hoe ze als zoon van een temperamentvolle Italiaanse vader en Vlaamse moeder zocht naar erkenning, maar vooral naar wie ze nou zelf was.",De Telegraaf,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:65FT-S651-JBNC-703Y-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2022-2024 hele sample.XLSX,Telegraaf,2022-05,1257
"Documentaire Hij is een zij NPO 3, 21.15-21.55u.",2020-11-03,International,NRC Handelsblad,News,91,DE GIDS;Blz. 10,91,"Netherlands, Kingdom of the",,,,,"Documentaire Hij is een zij NPO 3, 21.15-21.55u.","Documentaire Hij is een zij NPO 3, 21.15-21.55u. Presentator Jan Kooijman volgt een jaar lang jonge transgenders en praat over de transformatie die zij ondergaan. Hoe is het om geboren te zijn in een verkeerd lichaam en tegen wat voor problemen lopen zij in het dagelijks leven aan? In deze aflevering vertelt Jules (19) wat het betekent om bij een operatie je borsten te laten verwijderen. Anne (38) is een transvrouw die gaat trouwen met haar grote liefde Daniëlle. Ondertussen wil Emma (12) graag starten met pubertijdsremmers, maar artsen raden haar aan nog even geduld te hebben. Link naar PDF",NRC Handelsblad,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:616S-68N1-JC5G-101R-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,2020-11,2925
Heerlijke gekte en één bonk solidariteit in dans over Ivoriaanse transgender gemeenschap,2023-06-18,International,NRC.nl,News,470,,470,"Netherlands, Kingdom of the",Francine van der Wiel,,,,Heerlijke gekte en één bonk solidariteit in dans over Ivoriaanse transgender gemeenschap,"Heerlijke gekte en één bonk solidariteit in dans over Ivoriaanse transgender gemeenschap De dansvoorstelling ‘Prophétique’ van Nadia Beugré over transgenders in Abidjan , de hoofdstad van Ivoorkust, is misschien wat uitgesponnen, maar toont goed hun strijdbaarheid. 'Pédé, faggot! Pédé, faggot!” De zes performers in Prophétique (on est déjà né.es) maken een ritmisch verzetliedje van de scheldwoorden voor homo, uitdagend en strijdbaar. Dat laatste zijn ze zeker, de transgenders van Ivoorkust. In hun land worden ze gekkinnen genoemd, ‘les folles’. Overdag verdienen ze hun geld door anderen mooi te maken in kapsalons en nagelstudio’s, ’s avonds zetten ze het uitgaansleven van Abidjan in vuur en vlam met hun meeslepende optredens.",NRC.nl,Web Publication,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:68GV-GN31-DY4K-8000-00000-00&context=1519360&sourcegroupingtype=G,NRC 2022-2024 hele sample.XLSX,NRC,2023-06,1906
Weet wat je doet als je ‘homo’ roept; leerlingen zetten zich in voor Paarse Vrijdag,2019-12-09,International,AD/Algemeen Dagblad.nl,News,595,,595,"Netherlands, Kingdom of the",Annemiek Steenbekkers,,,,Weet wat je doet als je ‘homo’ roept; leerlingen zetten zich in voor Paarse Vrijdag,"Weet wat je doet als je ‘homo’ roept; leerlingen zetten zich in voor Paarse Vrijdag ZALTBOMMEL - ‘Jezelf kunnen zijn zonder dat andere kinderen daar stom over gaan doen’. Tien leerlingen van het Cambium College in Zaltbommel vinden niet alleen dat dat moet kunnen, ze zetten zich er ook actief voor in. Onder meer 13 december tijdens Paarse Vrijdag.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5XPD-3MM1-DY0X-90B3-00000-00&context=1519360&sourcegroupingtype=G,AD 2019-2021 hele sample.XLSX,Algemeen Dagblad,2019-12,520
’Superhatelijke opvattingen’: gaat hoofd van J.K. Rowling ooit van hakblok?,2023-08-07,International,De Telegraaf.nl,News,561,ENTERTAINMENT; FRONTPAGE,561,"Netherlands, Kingdom of the",Rosanne de Jong,,,,’Superhatelijke opvattingen’: gaat hoofd van J.K. Rowling ooit van hakblok?,’Superhatelijke opvattingen’: gaat hoofd van J.K. Rowling ooit van hakblok? Gaat het hoofd van J.K Rowling ooit nog van het hakblok? Een vraag die voor de zoveelste keer opspeelt sinds de uitspraken van de ’omstreden’ Britse Harry Potter-auteur in 2020. Ze reageerde op Twitter op een artikel waarin de omschrijving ’mensen die menstrueren’ voorkwam. Ze grapte dat daar toch een woord voor was: vrouwen. Sindsdien wordt haar vanuit alle hoeken het vuur aan de schenen gelegd. Nu weer door het Museum of Pop Culture (MoPOP) in Seattle . Hoe is een van de meest populaire auteurs aller tijden uitgegroeid tot zo’n controversieel persoon?,De Telegraaf.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:68WH-1GJ1-JBNJ-2396-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2022-2024 hele sample.XLSX,Telegraaf,2023-08,1478
Claire: Heel lang heb ik geprobeerd om als man te leven VROUW Glossy,2021-04-01,International,De Telegraaf.nl,News,718,VROUW; GLOSSY; FRONTPAGE,718,"Netherlands, Kingdom of the",Jill Waas,,,,Claire: Heel lang heb ik geprobeerd om als man te leven VROUW Glossy,"Claire: Heel lang heb ik geprobeerd om als man te leven VROUW Glossy Behandeling met hormonen kan ervoor zorgen dat je zwanger raakt, niet te lang wordt, kanker overwint of het vrouwenlichaam krijgt dat bij je innerlijk hoort. Maar het kan je ook flink ontregelen. Vijf vrouwen delen in VROUW Glossy hun ervaringen. Waaronder Claire Slingerland (59) die vorig jaar begon met hormoontherapie om ook lichamelijk vrouw te worden. Ze is filmmaker, getrouwd en heeft twee kinderen (27 en 23). Hormonen zorgen ervoor…",De Telegraaf.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:62BG-YCH1-DY4K-S0F6-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2019-2021 hele sample.XLSX,Telegraaf,2021-04,2699
Paarse Vrijdag niet altijd makkelijk voor scholen: ‘Op de dag zelf leggen we niets op’,2023-12-08,International,AD/Algemeen Dagblad.nl,News,957,,957,"Netherlands, Kingdom of the","Anne Boer, Paolo Laconi",,,,Paarse Vrijdag niet altijd makkelijk voor scholen: ‘Op de dag zelf leggen we niets op’,"Paarse Vrijdag niet altijd makkelijk voor scholen: ‘Op de dag zelf leggen we niets op’ Vandaag, 8 december, is het Paarse Vrijdag. De dag waarop scholieren en studenten door het dragen van de kleur paars op school hun solidariteit kunnen tonen met lhbtiq+’ers. Voor de een is dat een regelrechte feestdag, voor de ander een gruwel of iets er tussenin. Hoe gaan scholen daarmee om? ,,Zo’n dag helpt om meer acceptatie te krijgen.’’ Er zijn stromingen die vinden dat scholen aan dit onderwerp helemaal geen aandacht moeten besteden.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:69TP-B5X1-DY0X-90C4-00000-00&context=1519360&sourcegroupingtype=G,AD 2022-2023 hele sample.XLSX,Algemeen Dagblad,2023-12,406
De V in je paspoort veranderen in een M? Daar ga je binnenkort zelf over,2022-07-14,International,NRC.nl,News,1903,,1903,"Netherlands, Kingdom of the","Menno Sedee, Sjoerd de Jong",,,,De V in je paspoort veranderen in een M? Daar ga je binnenkort zelf over,"De V in je paspoort veranderen in een M? Daar ga je binnenkort zelf over Het kabinet wil af van de verklaring van een deskundige die nodig is om juridisch van geslacht te veranderen. Belangengroepen juichen dat toe. Critici vrezen dat de drempel voor geslachtsverandering zonder zo’n verklaring te laag wordt. Sinds juni heeft Simon eindelijk identiteitspapieren op zak met zijn nieuwe geslachtsaanduiding. Het kon hem niet snel genoeg gaan. „Op reis en bij het zoeken van een baantje vragen ze steeds om je identiteitsbewijs. Ik vond het vervelend dan steeds uit te moeten leggen waarom daar nog een ‘V’ staat. En ik wil niet dat mensen mijn oude naam weten.” Voor de geslachts- en naamswijziging op zijn paspoort had Simon, die niet met zijn achternaam in de krant wil omdat hij bang is voor nare reacties, een ‘deskundigenverklaring’ nodig. Daarvoor moest hij het volgende doen: met nog ongeveer twintig anderen nam hij deel aan een informatieve bijeenkomst van het Radboudumc in Nijmegen, waar hij al in behandeling was en puberteitsremmers kreeg. Die bijeenkomst kostte 65 euro. Na afloop moest hij een formulier ondertekenen dat hij de procedure had begrepen. Vervolgens kreeg hij de deskundigenverklaring thuisgestuurd. Met die verklaring in de hand ging hij naar zijn geboorteplaats, waar hij ten overstaan van een ambtenaar nog eens akkoord moest gaan met zijn nieuwe naam en veranderde geslachtsaanduiding.",NRC.nl,Web Publication,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:65XK-JV11-DY4K-80HV-00000-00&context=1519360&sourcegroupingtype=G,NRC 2022-2024 hele sample.XLSX,NRC,2022-07,1708
